,Unnamed: 0,distmin,distmax,distcen,masstofill,num_empty_pixels
0,0,0.0,20.0,10.0,0.0,3139311.0
1,1,20.0,40.0,30.0,7813722928559.516,3136374.0
2,2,40.0,60.0,50.0,50775100376831.69,3134287.0
3,3,60.0,80.0,70.0,15153731141213.123,3127749.0
4,4,80.0,100.0,90.0,116717442416651.69,3124238.0
5,5,100.0,120.0,110.0,118037853121220.62,3119644.0
6,6,120.0,140.0,130.0,233333051607932.1,3115009.0
7,7,140.0,160.0,150.0,461991340569679.25,3113650.0
8,8,160.0,180.0,170.0,671625436713639.5,3111731.0
9,9,180.0,200.0,190.0,1073993710730484.0,3111244.0
10,10,200.0,220.0,210.0,996771649174992.4,3105004.0
11,11,220.0,240.0,230.0,1053253692174778.0,3100133.0
12,12,240.0,260.0,250.0,1402831034707069.5,3097298.0
13,13,260.0,280.0,270.0,1821757485658065.2,3093130.0
14,14,280.0,300.0,290.0,2085878025728256.8,3089623.0
15,15,300.0,320.0,310.0,2632123437759441.0,3088340.0
16,16,320.0,340.0,330.0,3185536508538343.0,3086868.0
17,17,340.0,360.0,350.0,3937958057027537.5,3086836.0
18,18,360.0,380.0,370.0,4866651077939663.0,3086989.0
19,19,380.0,400.0,390.0,6000991538445230.0,3090769.0
20,20,400.0,420.0,410.0,7407786413358125.0,3095724.0
21,21,420.0,440.0,430.0,8700812092627395.0,3098289.0
22,22,440.0,460.0,450.0,1.023204495900989e+16,3100948.0
23,23,460.0,480.0,470.0,1.1503593745270992e+16,3102054.0
24,24,480.0,500.0,490.0,1.2855057310551984e+16,3102798.0
25,25,500.0,520.0,510.0,1.4455080814876598e+16,3104256.0
26,26,520.0,540.0,530.0,1.5577238044420486e+16,3105006.0
27,27,540.0,560.0,550.0,1.7142433112326714e+16,3107432.0
28,28,560.0,580.0,570.0,1.9557771065075136e+16,3110057.0
29,29,580.0,600.0,590.0,2.112338028523804e+16,3111679.0
30,30,600.0,620.0,610.0,2.3792828520202616e+16,3112601.0
31,31,620.0,640.0,630.0,2.458532991554144e+16,3112502.0
32,32,640.0,660.0,650.0,2.63727620338046e+16,3114301.0
33,33,660.0,680.0,670.0,2.84948441307956e+16,3117000.0
34,34,680.0,700.0,690.0,3.1080841342097044e+16,3119896.0
35,35,700.0,720.0,710.0,3.359351733786066e+16,3119758.0
36,36,720.0,740.0,730.0,3.515129119119286e+16,3121617.0
37,37,740.0,760.0,750.0,3.687342995914876e+16,3123600.0
38,38,760.0,780.0,770.0,4.123814373009018e+16,3124825.0
39,39,780.0,800.0,790.0,4.301767362384897e+16,3125391.0
40,40,800.0,820.0,810.0,4.414147952381276e+16,3126919.0
41,41,820.0,840.0,830.0,4.99850111721283e+16,3127756.0
42,42,840.0,860.0,850.0,4.834453333604953e+16,3128663.0
43,43,860.0,880.0,870.0,5.447557778710268e+16,3128377.0
44,44,880.0,900.0,890.0,5.616706376718063e+16,3130140.0
45,45,900.0,920.0,910.0,5.7294145738336216e+16,3130328.0
46,46,920.0,940.0,930.0,6.440502453477971e+16,3130513.0
47,47,940.0,960.0,950.0,6.375506114148818e+16,3131773.0
48,48,960.0,980.0,970.0,6.869673803476479e+16,3132401.0
49,49,980.0,1000.0,990.0,7.792811980635002e+16,3132377.0
