num,Area99,Mean_Dist,P_massfill,P_3dcat,P_2dcat,DegArea,P_2d,P_onlymass,P_2dcat_dcut,P_massdcut
53,1949,473.7071231,0.562936755,0.544450055,0.537331887,1325.740432,0.54127683,0.143134532,0.00001,
155,974,206.1544903,0.511333642,0.404116745,0.496890474,419.8689478,0.4512727,0.092636509,0.00001,
160,3168,313.3471333,0.299909335,0.241998087,0.281572859,1836.620108,0.255050448,0.057568566,0.00001,
165,3277,431.2188229,0.380632739,0.363474861,0.366626441,2083.621128,0.359280045,0.044760584,0.00001,
192,6551,498.0245419,0.143322215,0.118440842,0.124772302,3279.468005,0.130154442,0.014934896,0.00001,
213,3400,355.8429284,0.505467819,0.243987085,0.255514047,2075.647853,0.482988698,0.036368183,0.00001,
284,335,239.4866767,0.874510524,0.852984264,0.853088763,135.230927,0.829858788,0.429160572,0.00001,
304,5550,283.8215782,0.224372131,0.172092983,0.218337319,3099.544778,0.178612137,0.042307615,0.00001,
344,3320,269.0719049,0.339727062,0.270119804,0.333277709,1943.013486,0.283252492,0.081537258,0.00001,
377,3131,264.2925491,0.257312422,0.202623135,0.237092984,1416.659363,0.208159503,0.043462478,0.00001,
383,1453,150.308288,0.655633144,0.516897492,0.652237338,647.5006808,0.578390756,0.050226828,0.00001,
405,1017,281.4054032,0.9515367,0.939152374,0.948256219,252.7580379,0.945226472,0.382202874,0.00001,
428,542,122.5592903,0.865542667,0.776308537,0.780682277,218.2946093,0.789916025,0.137134847,0.00001,
446,3616,478.8757792,0.232141326,0.196570906,0.19928381,1507.735661,0.212946933,0.042431287,0.00001,
448,4052,463.5521972,0.264599181,0.239009511,0.24492597,2111.016144,0.255644338,0.041428336,0.00001,
507,919,439.3283979,0.984704183,0.16773956,0.16879627,217.5208869,0.973651784,0.104077968,0.00001,
521,3663,453.7709198,0.564490826,0.551106723,0.54650495,1771.142217,0.550952277,0.083673044,0.00001,
522,2759,209.2652554,0.525079753,0.477365284,0.518862783,1266.701484,0.461059452,0.083516845,0.00001,
580,2792,156.2673687,0.444025705,0.280673769,0.420191331,1555.876927,0.317977823,0.058772872,0.00001,
604,308,200.8505865,0.938888017,0.901351069,0.927905825,122.8513697,0.910721008,0.458911972,0.00001,
633,1785,248.0430299,0.514363221,0.443223679,0.48494392,1039.581194,0.354949513,0.066666437,0.00001,
652,1272,196.4730397,0.624422462,0.486168511,0.612027148,768.975087,0.503590046,0.102591481,0.00001,
687,394,121.1782691,0.958740979,0.921945909,0.897153444,171.1762306,0.936475704,0.522198692,0.00001,
733,4263,311.4747557,0.314596786,0.271112332,0.295004086,2628.374105,0.290476489,0.030765499,0.00001,
736,2312,198.8107032,0.433320069,0.368557126,0.425163523,937.4236186,0.349258022,0.094404994,0.00001,
759,5459,357.134182,0.243885675,0.218701203,0.235389644,2360.889115,0.21737582,0.030032563,0.00001,
783,2193,395.0139564,0.526123526,0.464897354,0.498448267,1345.542478,0.509960855,0.019366076,0.00001,
794,1969,151.1226148,0.731751509,0.685292356,0.696413041,818.349063,0.691470353,0.127473134,0.00001,
964,964,483.0852257,0.676143248,0.622552796,0.614637531,551.0214402,0.657726065,0.252779615,0.00001,
967,6712,314.085988,0.147021957,0.116033603,0.137034234,2792.652405,0.111455291,0.015689451,0.00001,
980,5341,303.4643198,0.251816712,0.225246666,0.24439075,2913.903874,0.207729118,0.023145113,0.00001,
983,1330,226.000706,0.497415981,0.383366535,0.475044744,645.3368811,0.411977277,0.115275927,0.00001,
989,6446,444.9349822,0.189935233,0.157704483,0.163174924,3196.181386,0.164602215,0.032298407,0.00001,
1002,2749,287.3223007,0.478674516,0.428666716,0.4628793,2014.471333,0.41810836,0.03208703,0.00001,
1019,2737,664.7621896,0.735657674,0.716217643,0.698650204,1277.730306,0.732567104,0.05924438,0.00001,
1065,105,137.0652273,0.999953148,0.999706186,0.99236514,82.31618782,0.999130989,0.986987761,0.00001,
1099,1339,328.2995627,0.403663645,0.361063401,0.377987317,642.2419918,0.369892246,0.111093588,0.00001,
1115,1851,637.4072195,0.639226764,0.587204364,0.561394363,1267.829282,0.628997618,0.111978105,0.00001,
1121,2313,125.8755849,0.47589054,0.25999139,0.47148222,1129.411669,0.208117774,0.061351587,0.00001,
1153,625,412.229295,0.84214486,0.77232087,0.771643442,374.6520901,0.831098413,0.212709399,0.00001,
1172,918,174.4246647,0.779642229,0.718748034,0.729562504,605.5229658,0.703107492,0.019743038,0.00001,
1243,5261,239.3704352,0.264969042,0.173929366,0.262991683,2830.879534,0.16879239,0.02399626,0.00001,
1273,3537,216.6940288,0.367248794,0.281598342,0.343891722,2040.528728,0.279469366,0.014191569,0.00001,
1357,2953,397.5796555,0.255065325,0.239058121,0.236347513,1791.009833,0.2368775,0.038319519,0.00001,
1365,3033,391.3608769,0.301437778,0.278812452,0.293073468,1767.326061,0.263276804,0.102814057,0.00001,
1371,4289,432.7572527,0.585075337,0.543595116,0.549540302,2750.491095,0.578180953,0.018481048,0.00001,
1417,4668,286.8076645,0.153539846,0.120284053,0.146474003,2744.878329,0.097844147,0.04796026,0.00001,
1462,3221,234.8760144,0.394326662,0.299530551,0.390046858,1757.215215,0.303645733,0.068505101,0.00001,
1528,4026,433.5281839,0.568254217,0.549344765,0.55757428,2370.370492,0.555388352,0.020649726,0.00001,
1565,217,136.8630431,0.933670917,0.563214972,0.485254493,87.26014239,0.903009632,0.466574547,0.00001,
1567,4058,443.189735,0.249135318,0.235903616,0.235012512,2373.216217,0.240498031,0.048497007,0.00001,
1584,4768,546.2891284,0.135734825,0.116811424,0.112541388,2548.392199,0.120781435,0.026545552,0.00001,
1611,4355,611.5489017,0.169323009,0.152636115,0.151855844,2509.876563,0.160243564,0.032211258,0.00001,
1661,2875,276.9956648,0.402276083,0.346086995,0.38591467,1182.313294,0.354115639,0.066585081,0.00001,
1698,2279,518.1282475,0.803227649,0.800142855,0.799726424,1369.829491,0.800842051,0.101092266,0.00001,
1700,2731,365.1547435,0.485844588,0.435058709,0.451828178,1332.218717,0.463690424,0.044261816,0.00001,
1763,4132,251.1234079,0.230853627,0.147172429,0.220753731,2172.599196,0.139053526,0.031523951,0.00001,
1788,1417,275.7502296,0.568425165,0.51654573,0.533628411,882.4631051,0.516812341,0.071106976,0.00001,
1812,3960,289.4540448,0.199180699,0.15599528,0.192258383,2137.847261,0.135602178,0.052961229,0.00001,
1819,2447,180.3090072,0.38686288,0.2196426,0.382756522,1007.806123,0.244433091,0.045111091,0.00001,
1836,3115,377.5845679,0.315119865,0.294513376,0.299053139,1683.580454,0.284436941,0.063921971,0.00001,
1902,4771,478.9738422,0.378410679,0.337357877,0.350025407,2203.075987,0.358080905,0.041589852,0.00001,
1922,3171,95.96776687,0.67865638,0.297945927,0.674237006,2057.930923,0.278368842,0.162312914,0.00001,
2008,5495,382.157711,0.179790631,0.146680338,0.164251766,2974.870571,0.154803876,0.023235987,0.00001,
2073,2425,275.5667442,0.2030064,0.158082525,0.200055397,1567.954864,0.152452838,0.069866627,0.00001,
2074,555,140.0269131,0.844748866,0.717669819,0.804508149,304.9252827,0.772209219,0.220233478,0.00001,
2077,2143,320.0606727,0.507255356,0.475632333,0.495427289,888.9938462,0.478293305,0.153494924,0.00001,
2086,503,194.1872284,0.879201258,0.848964154,0.855543671,203.9217334,0.872692273,0.367465177,0.00001,
