,num,Area99,Mean_Dist,P_massfill,P_2dcat,P_3dcat,DegArea,P_2d,P_onlymass
0,53,1949,473.7071231,0.712019929,0.705810236,0.702063352,1325.740432,0.706161766,0.238699408
1,155,974,206.1544903,0.767252421,0.718710308,0.746409906,419.8689478,0.738749602,0.230454709
2,160,3168,313.3471333,0.438949319,0.395659213,0.416335428,1836.620108,0.402657386,0.091718242
3,165,3277,431.2188229,0.425341846,0.393159761,0.40633248,2083.621128,0.393615163,0.061054527
4,192,6551,498.0245419,0.290114313,0.266431503,0.264307618,3279.468005,0.279606158,0.018266668
5,213,3400,355.8429284,0.515897202,0.363665144,0.380022881,2075.647853,0.48536256,0.04730945
6,284,335,239.4866767,0.991810276,0.988529265,0.991366812,135.230927,0.98600796,0.818271902
7,304,5550,283.8215782,0.289248811,0.235583118,0.276157022,3099.544778,0.233811648,0.057587055
8,344,3320,269.0719049,0.408152036,0.353146936,0.399073751,1943.013486,0.352342264,0.060211966
9,377,3131,264.2925491,0.466491081,0.41387852,0.450089645,1416.659363,0.425468846,0.073481643
10,383,1453,150.308288,0.829438704,0.786146626,0.822714766,647.5006808,0.814113918,0.179928144
11,405,1017,281.4054032,0.945740219,0.815399577,0.82863734,252.7580379,0.929292572,0.54170946
12,428,542,122.5592903,0.982303416,0.96880268,0.952735671,218.2946093,0.976987177,0.266726564
13,446,3616,478.8757792,0.44702412,0.401641513,0.407183463,1507.735661,0.415075241,0.078364938
14,448,4052,463.5521972,0.445858574,0.422433744,0.424875425,2111.016144,0.429774865,0.09426672
15,507,919,439.3283979,0.995557139,0.6012245,0.833396332,217.5208869,0.994494593,0.69853634
16,521,3663,453.7709198,0.530576535,0.475618022,0.47597422,1771.142217,0.51642735,0.04626049
17,522,2759,209.2652554,0.736393609,0.697197106,0.72776734,1266.701484,0.707226659,0.157268345
18,580,2792,156.2673687,0.555820678,0.392382336,0.470840979,1555.876927,0.436631704,0.065872723
19,604,308,200.8505865,0.997193775,0.992663849,0.996760981,122.8513697,0.994511254,0.812965089
20,633,1785,248.0430299,0.523421428,0.440779859,0.472028844,1039.581194,0.41035978,0.07208615
21,652,1272,196.4730397,0.760437458,0.709549195,0.745026643,768.975087,0.645972462,0.191467377
22,687,394,121.1782691,0.997061845,0.982241547,0.96770879,171.1762306,0.995342278,0.698206553
23,733,4263,311.4747557,0.373290539,0.346243874,0.3589958,2628.374105,0.34361917,0.042471202
24,736,2312,198.8107032,0.671231379,0.648245409,0.667106018,937.4236186,0.652064206,0.184784698
25,759,5459,357.134182,0.445936784,0.421564037,0.432806883,2360.889115,0.42592083,0.061097761
26,783,2193,395.0139564,0.63744977,0.603036231,0.613766195,1345.542478,0.624626513,0.026737737
27,794,1969,151.1226148,0.738743712,0.65645997,0.709968492,818.349063,0.705878659,0.087053451
28,964,964,483.0852257,0.879039612,0.832921538,0.828915581,551.0214402,0.870527117,0.271513841
29,967,6712,314.085988,0.27480621,0.244597029,0.255081271,2792.652405,0.248717025,0.035151809
30,980,5341,303.4643198,0.354920914,0.325705517,0.34204491,2913.903874,0.318594088,0.029685792
31,983,1330,226.000706,0.765162771,0.676737949,0.736676314,645.3368811,0.718193746,0.189251564
32,989,6446,444.9349822,0.34720011,0.309130272,0.312032616,3196.181386,0.318580291,0.024989214
33,1002,2749,287.3223007,0.513508534,0.489216717,0.504533952,2014.471333,0.480579832,0.05746832
34,1019,2737,664.7621896,0.878355646,0.869632032,0.867665419,1277.730306,0.876282874,0.079407037
35,1065,105,137.0652273,0.999673891,0.999174401,0.998880091,82.31618782,0.999002641,0.933488246
36,1099,1339,328.2995627,0.642403415,0.615578139,0.620790531,642.2419918,0.613800311,0.198638271
37,1115,1851,637.4072195,0.6173114,0.581769308,0.564286465,1267.829282,0.604885356,0.170040159
38,1121,2313,125.8755849,0.537581789,0.391225921,0.514395466,1129.411669,0.238797984,0.114278316
39,1153,625,412.229295,0.939973617,0.92840978,0.927556922,374.6520901,0.932236509,0.236601277
40,1172,918,174.4246647,0.851823579,0.816782692,0.840938505,605.5229658,0.796221673,0.066272458
41,1243,5261,239.3704352,0.356015144,0.28765349,0.34982342,2830.879534,0.294812865,0.036840304
42,1273,3537,216.6940288,0.561716059,0.486316071,0.511647627,2040.528728,0.505246822,0.014747608
43,1357,2953,397.5796555,0.365752639,0.346752092,0.346350434,1791.009833,0.354205516,0.058898071
44,1365,3033,391.3608769,0.483566951,0.44367998,0.464185797,1767.326061,0.468520607,0.183685096
45,1371,4289,432.7572527,0.663548801,0.644046366,0.650054029,2750.491095,0.645860321,0.035580402
46,1417,4668,286.8076645,0.260669702,0.219828696,0.240896878,2744.878329,0.183686781,0.070524254
47,1462,3221,234.8760144,0.475176775,0.424637674,0.467821065,1757.215215,0.393367383,0.070043988
48,1528,4026,433.5281839,0.551471375,0.534524113,0.539964153,2370.370492,0.543872876,0.045178207
49,1565,217,136.8630431,1,1,1,87.26014239,1,1
50,1567,4058,443.189735,0.357050441,0.332655279,0.332150483,2373.216217,0.342179955,0.075310634
51,1584,4768,546.2891284,0.29624812,0.266925396,0.266518889,2548.392199,0.280063518,0.046945085
52,1611,4355,611.5489017,0.275027985,0.251729332,0.250127899,2509.876563,0.261723995,0.056218975
53,1661,2875,276.9956648,0.621988962,0.586379288,0.60497054,1182.313294,0.588893821,0.116963318
54,1698,2279,518.1282475,0.8827455,0.876475976,0.879341517,1369.829491,0.879150505,0.059628748
55,1700,2731,365.1547435,0.743438899,0.725523667,0.739081356,1332.218717,0.738240283,0.108493919
56,1763,4132,251.1234079,0.347396368,0.261423952,0.337095954,2172.599196,0.245275524,0.075148205
57,1788,1417,275.7502296,0.754146548,0.712463274,0.730226137,882.4631051,0.688279802,0.138821047
58,1812,3960,289.4540448,0.314301672,0.272699327,0.302358599,2137.847261,0.248702043,0.072645743
59,1819,2447,180.3090072,0.562125274,0.420891925,0.554628678,1007.806123,0.452423863,0.087574376
60,1836,3115,377.5845679,0.428915215,0.394195111,0.406850763,1683.580454,0.409031691,0.110954442
61,1902,4771,478.9738422,0.558617449,0.523717329,0.523058155,2203.075987,0.553860573,0.106617464
62,1922,3171,95.96776687,0.636251482,0.486510647,0.630419537,2057.930923,0.401707252,0.149474055
63,2008,5495,382.157711,0.276666588,0.248459226,0.254054745,2974.870571,0.257839888,0.030376709
64,2073,2425,275.5667442,0.321832774,0.278819543,0.315327312,1567.954864,0.272763869,0.108105802
65,2074,555,140.0269131,0.939527816,0.896030512,0.931756598,304.9252827,0.892076271,0.268508556
66,2077,2143,320.0606727,0.778811909,0.76658907,0.773464508,888.9938462,0.764761348,0.238519993
67,2086,503,194.1872284,0.980106621,0.963467439,0.978917023,203.9217334,0.964846102,0.546579599
68,2093,4979,401.4209228,0.313614406,0.251363235,0.267020913,2919.044538,0.299904532,0.032157962
69,2114,2772,262.8813139,0.422925272,0.376661603,0.417238586,2355.171438,0.363532628,0.10955153
70,2179,5766,428.9798485,0.706601738,0.694760323,0.696837602,2262.128049,0.696138149,0.031771775
71,2191,5881,279.5614917,0.375025521,0.333818459,0.364582528,2962.556583,0.319087556,0.071127889
72,2220,861,650.0873497,0.959912034,0.95083551,0.94841491,725.528611,0.958502583,0.029761962
73,2255,562,278.3383031,0.968050418,0.964966216,0.964583098,247.460007,0.96212179,0.435614074
74,2257,429,269.0382895,0.973077517,0.967630806,0.970333139,177.3791232,0.970157661,0.560695971
75,2285,2561,406.0857038,0.732135961,0.47216247,0.481701478,1660.027821,0.722077338,0.043497192
76,2286,4778,457.8484562,0.476892867,0.4364994,0.438887787,2823.470159,0.468235112,0.028640529
77,2290,3067,353.1271323,0.547583487,0.495926268,0.532348721,1239.162214,0.524888614,0.160482021
78,2312,5294,462.8297901,0.421605671,0.406974059,0.402921862,2599.825063,0.41391924,0.056317457
79,2347,1631,695.9735833,0.897011303,0.862731481,0.860792472,1396.031139,0.894884483,0.01311548
80,2357,607,104.1150489,0.951131464,0.910574784,0.939520731,318.4457526,0.902006538,0.200108634
81,2370,3282,323.8162323,0.566422342,0.532039928,0.54991465,1484.261713,0.550961553,0.060114228
82,2377,1794,310.599209,0.951026824,0.883943765,0.887182005,235.9459696,0.945415851,0.329790919
83,2438,578,247.4111718,0.922502703,0.901731085,0.916890703,396.3818851,0.904537647,0.383320757
84,2477,1032,169.1010427,0.923159402,0.894764672,0.912609362,427.5930572,0.907968959,0.494833285
85,2505,2182,276.5488509,0.687210187,0.622273683,0.660953702,1320.114553,0.644117233,0.051869597
86,2518,1479,400.4591812,0.59101228,0.552273525,0.560482295,1033.286504,0.564703965,0.043159063
87,2526,3448,393.1999475,0.370760295,0.341084598,0.350082228,1935.774592,0.343542579,0.083721892
88,2534,2363,439.2762298,0.597412837,0.55234563,0.550891796,1449.85074,0.58737992,0.085221499
89,2576,500,136.460725,0.968842501,0.953550252,0.936201531,199.3318552,0.952405034,0.716058625
90,2595,3335,731.9913207,0.447841261,0.429370884,0.422406458,1725.545055,0.43558828,0.111220823
91,2618,4908,260.2939567,0.284674562,0.216963851,0.272885886,2726.702411,0.164719439,0.042722555
92,2625,2294,164.9143506,0.721186207,0.652599728,0.705655621,956.5568539,0.653663433,0.211619596
93,2644,4763,449.0590097,0.375018835,0.347248901,0.356026142,2857.304118,0.348871451,0.056276471
94,2677,2525,200.9377068,0.470846979,0.400537684,0.462961431,1079.159059,0.432261574,0.111609481
95,2679,1966,247.9476495,0.986959495,0.985092271,0.98622238,163.2029564,0.985747575,0.567076459
96,2702,954,429.8389153,0.72720464,0.587708475,0.576501514,615.0961404,0.68852988,0.111034056
97,2727,558,249.2037511,0.918230746,0.903311955,0.908032832,230.8184199,0.906780906,0.465737539
98,2728,1598,147.7225427,0.970066237,0.960051492,0.964922711,362.7970903,0.949507156,0.39701002
99,2783,2553,367.6376975,0.627190376,0.611596413,0.614146139,1487.68445,0.608044316,0.107378887
100,2798,2251,181.6901008,0.538780365,0.434891532,0.531345427,1203.610329,0.393558341,0.123993908
101,2809,2054,182.1347365,0.663566541,0.622882356,0.648694094,863.8019716,0.631984993,0.0927885
102,2891,3250,352.3514138,0.421496839,0.395745668,0.408220363,1741.255552,0.384831147,0.10574262
103,2950,604,167.9492856,0.947425142,0.934142961,0.94342954,249.7024904,0.932842811,0.676471494
104,2971,5671,551.2851528,0.652111968,0.638829194,0.637961457,3091.55839,0.645924075,0.016411312
105,2981,3493,460.0216101,0.393004351,0.369099403,0.376163863,1957.242109,0.380724383,0.094844744
106,2993,5620,283.8380246,0.549424686,0.511979233,0.525320243,2601.910179,0.527156699,0.0158002
107,3005,6003,358.1474817,0.442127348,0.418358366,0.421283652,2774.699424,0.414002098,0.040770531
108,3012,2421,187.2147375,0.628387876,0.567800686,0.617421402,1010.12729,0.579235445,0.242513606
109,3013,4020,163.4348453,0.480076901,0.404400479,0.467945841,1827.663289,0.406587432,0.089195645
110,3046,5826,342.2554029,0.308025849,0.282659688,0.2944792,3171.186221,0.276265481,0.034781339
111,3061,4269,196.5052982,0.573346018,0.512257674,0.567168367,2108.144191,0.490247349,0.023498153
