,RA_Center,DEC_Center
0,0.0,89.0
1,60.0,89.0
2,120.0,89.0
3,180.0,89.0
4,240.0,89.0
5,300.0,89.0
6,0.0,88.0
7,30.0,88.0
8,60.0,88.0
9,90.0,88.0
10,120.0,88.0
11,150.0,88.0
12,180.0,88.0
13,210.0,88.0
14,240.0,88.0
15,270.0,88.0
16,300.0,88.0
17,330.0,88.0
18,0.0,87.0
19,20.0,87.0
20,40.0,87.0
21,60.0,87.0
22,80.0,87.0
23,100.0,87.0
24,120.0,87.0
25,140.0,87.0
26,160.0,87.0
27,180.0,87.0
28,200.0,87.0
29,220.0,87.0
30,240.0,87.0
31,260.0,87.0
32,280.0,87.0
33,300.0,87.0
34,320.0,87.0
35,340.0,87.0
36,0.0,86.0
37,14.4,86.0
38,28.8,86.0
39,43.2,86.0
40,57.6,86.0
41,72.0,86.0
42,86.4,86.0
43,100.8,86.0
44,115.2,86.0
45,129.6,86.0
46,144.0,86.0
47,158.4,86.0
48,172.8,86.0
49,187.2,86.0
50,201.6,86.0
51,216.0,86.0
52,230.4,86.0
53,244.8,86.0
54,259.2,86.0
55,273.6,86.0
56,288.0,86.0
57,302.4,86.0
58,316.8,86.0
59,331.2,86.0
60,345.6,86.0
61,0.0,85.0
62,11.6129,85.0
63,23.22581,85.0
64,34.83871,85.0
65,46.45161,85.0
66,58.06452,85.0
67,69.67742,85.0
68,81.29032,85.0
69,92.90323,85.0
70,104.51613,85.0
71,116.12903,85.0
72,127.74194,85.0
73,139.35484,85.0
74,150.96774,85.0
75,162.58065,85.0
76,174.19355,85.0
77,185.80645,85.0
78,197.41935,85.0
79,209.03226,85.0
80,220.64516,85.0
81,232.25806,85.0
82,243.87097,85.0
83,255.48387,85.0
84,267.09677,85.0
85,278.70968,85.0
86,290.32258,85.0
87,301.93548,85.0
88,313.54839,85.0
89,325.16129,85.0
90,336.77419,85.0
91,348.3871,85.0
92,0.0,84.0
93,9.72973,84.0
94,19.45946,84.0
95,29.18919,84.0
